rcsb_id,entry.id,struct.title,exptl.method,exptl_crystal_grow.crystal_id,exptl_crystal_grow.method,exptl_crystal_grow.pH,exptl_crystal_grow.temp,exptl_crystal_grow.pdbx_details,exptl_crystal.density_Matthews,exptl_crystal.density_percent_sol,exptl_crystal_grow.pdbx_details_extracted.pH,exptl_crystal_grow.pdbx_details_extracted.temperature,exptl_crystal_grow.pdbx_details_extracted.method,exptl_crystal_grow.pdbx_details_extracted.reagents,exptl_crystal_grow.pdbx_details_refined
6G4Z,6G4Z,Crystal structure of murine NF-kappaB inducing kinase (NIK) in complex with compound 2f,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",6.2,277.0,"0.3-0.9M ammonium sulphate, 
0.05-0.1M sodium citrate, 
0.7-1.0M Lithium sulphate",3.17,61.14,7,298,HANGING DROP,"{'ammonium sulfate': '0.3-0.9M', 'sodium citrate': '0.05-0.1M', 'lithium sulfate': '0.7-1.0M'}","{
  ""pH"": 7,
  ""temperature"": 298,
  ""reagents"": {
    ""ammonium sulfate"": ""0.3-0.9M"",
    ""sodium citrate"": ""0.05-0.1M"",
    ""lithium sulfate"": ""0.7-0.8M""
  },
  ""method"": ""HANGING DROP""
}
  			  													"
1OE0,1OE0,CRYSTAL STRUCTURE OF DROSOPHILA DEOXYRIBONUCLEOSIDE KINASE IN COMPLEX WITH DTTP,X-RAY DIFFRACTION,1.0,,6.5,,pH 6.50,2.78,55.8,6.5,0.0,HANGING DROP,{},"{
  ""pH"": 6.50,
  ""temperature"": 0.0,
  ""reagents"": {},
  ""method"": ""HANGING DROP""
}
"
6CQD,6CQD,Crystal structure of HPK1 in complex with ATP analogue (AMPPNP),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",7.5,292.0,"0.1 M HEPES, pH 7.5, 12% PEG8000",2.38,48.24,7.5,298,HANGING DROP,"{'HEPES': '0.1M', 'PEG8000': '12%'}","{
  ""pH"": 7.5,
  ""temperature"": 298,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""PEG8000"": ""12%""
  },
  ""method"": ""HANGING DROP""
}
  												  				"
6NFY,6NFY,"Crystal structure of nonphosphorylated, HPK1 kinase domain in complex with sunitinib in the inactive state.",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.5,294.15,"300 nl protein (16 mg/ml) plus 300 nl reservoir solution (4.19 M NaCl, 0.1 M HEPES, pH 6.5) and incubated at 25 C",3.4,63.82,6.5,25,"VAPOR DIFFUSION, HANGING DROP","{'protein solution': '16 mg/ml', 'reservoir solution': '4.19 M NaCl, 0.1 M HEPES'}","{
  ""pH"": 6.5,
  ""temperature"": 25,
  ""reagents"": {
    ""protein solution"": ""16 mg/ml"",
    ""reservoir solution"": ""4.19 M NaCl, 0.1 M HEPES""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  																		"
6NFZ,6NFZ,Crystal structure of diphosphorylated HPK1 kinase domain in complex with sunitinib in the active state.,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",7.5,286.15,"0.2M ammonium fluoride, 20% PEG 3350, 100nl well + 100nl protein @ 22mg/ml",2.45,49.8,7,277,MICROBATCH,"{'HEPES': '0.1M', 'ammonium sulfate': '0.4M', 'PEG400': '20%'}","{
  ""pH"": 7,
  ""temperature"": 277,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""ammonium sulfate"": ""0.4M"",
    ""PEG400"": ""20%""
  },
  ""method"": ""MICROBATCH""
}
																			"
6NG0,6NG0,"Crystal structure of HPK1 kinase domain T165E,S171E phosphomimetic mutant in complex with sunitinib in the inactive state.",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.0,286.15,"200 nl protein (15 mg/ml) plus 300 nl reservoir solution (0.1 M tris, pH 8.0, 17.5 % 1,6-Hexanediol, 10 mM magnesium sulfate, 24 mM Barium acetate)",2.58,52.41,8.0,293,HANGING DROP,"{'protein solution': '15 mg/ml', 'reservoir solution': '0.1 M tris (pH 8.0), 17.5% 1,6-Hexanediol, 10 mM magnesium sulfate, 24 mM Barium acetate'}","{
  												  				""pH"": 8.0,
  												""temperature"": 293,
  												""reagents"": {
  											 		""protein solution"": ""15 mg/ml"",
  											 		""reservoir solution"": ""0.1 M tris (pH 8.0), 17.5 % 1,6-Hexanediol, 10 mM magnesium sulfate, 24 mM Barium acetate""
  												},
  												""method"": ""HANGING DROP""
  												}
																   	"
1U0T,1U0T,Crystal structure of Mycobacterium tuberculosis NAD kinase,X-RAY DIFFRACTION,1.0,,6.0,298.0,"PEG 4000, MES buffer, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K, pH 6.00",2.46,49.98,6.0,298,"VAPOR DIFFUSION, HANGING DROP",null,"{
  ""pH"": 6.0,
  ""temperature"": 298,
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  																		"
5IG1,5IG1,Crystal structure of S. rosetta CaMKII kinase domain,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.9,295.0,"1.8 M sodium phosphate monobasic monohydrate, potassium phosphate dibasic pH 6.9",3.98,69.13,6.9,0,HANGING DROP,"{'sodium phosphate monobasic monohydrate': '1.8 M', 'potassium phosphate dibasic': '1 M'}","{
  ""pH"": 6.9,
  ""temperature"": 0,
  ""reagents"": {
    ""sodium phosphate monobasic monohydrate"": ""1.8 M"",
    ""potassium phosphate dibasic"": ""1 M""
  },
  ""method"": ""HANGING DROP""
}
  					   										"
1K47,1K47,Crystal Structure of the Streptococcus pneumoniae Phosphomevalonate Kinase (PMK),X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",7.5,298.0,"sodium dihydrogen phosphate, potassium dihydrogen phosphate, HEPES, ATP, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.14,60.5,7.5,298,"VAPOR DIFFUSION, HANGING DROP","{'sodium diphosphate': '0.1M', 'potassium dihydrogen phosphate': '0.1M', 'HEPES': '0.1M', 'ATP': '5 mM'}","{
  ""pH"": 7.5,
  ""temperature"": 298,
  ""reagents"": {
    ""sodium diphosphate"": ""0.1M"",
    ""potassium dihydrogen phosphate"": ""0.1M"",
    ""HEPES"": ""0.1M"",
    ""ATP"": ""5 mM""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  																		"
4UYO,4UYO,Structure of delta7-DgkA in 7.9 MAG by serial femtosecond crystatallography to 2.18 angstrom resolution,X-RAY DIFFRACTION,1.0,LIPIDIC CUBIC PHASE,5.6,293.0,"0.2 %(V/V) 2-METHYL-2, 4-PENTANEDIOL (MPD), 0.1 M SODIUM CHLORIDE, 0.1 M SODIUM CITRATE/HCL PH 5.6. CRYSTALLIZED USING THE IN MESO (LIPID CUBIC PHASE) METHOD AT 20 DEGREES CELCIUS WITH THE 7.9 MONOACYLGLYCEROL (7.9 MAG) AS THE HOSTING LIPID.CRYSTALLIZATION WAS SET UP BY INCUBATING 20 MICROLITERS OF LIPID CUBIC PHASE WITH 400 MICROLITERS OF PRECIPITANT SOLUTION IN COUPLED SYRINGES.",2.93,58.04,5.6,20,IN MESO (LIPID CUBIC PHASE) METHOD,"{'2-METHYL-2,4-PENTANEDIOL (MPD)': '0.2 %(V/V)', 'SODIUM CHLORIDE': '0.1 M', 'SODIUM CITRATE/HCL PH 5.6': '0.1 M'}","{
  ""pH"":5.6,
  ""temperature"":20,
  ""reagents"": {
    ""2-METHYL-2,4-PENTANEDIOL (MPD)"": ""0.2 %(V/V)"",
    ""SODIUM CHLORIDE"": ""0.1 M"",
    ""SODIUM CITRATE/HCL PH 5.6"": ""0.1 M""
  },
  ""method"": ""IN MESO (LIPID CUBIC PHASE) METHOD""
}
  				  								 			"
8XN7,8XN7,"Crystal structure of HPK1 kinase domain T165E,S171E phosphomimetic mutant in complex with compound 9f",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",7.0,291.0,"0.1 M sodium chloride, 0.1 M Tris, 
8%(w/v)PEG 20000, pH=8.0",2.45,49.72,8.0,277,"VAPOR DIFFUSION, HANGING DROP","{'sodium chloride': '0.1M', 'Tris': '0.1M'}","{
  ""pH"": 8.0,
  ""temperature"": 277,
  ""reagents"": {
    ""sodium chloride"": ""0.1M"",
    ""Tris"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  																		"
1I5C,1I5C,STRUCTURE OF CHEA DOMAIN P4 IN COMPLEX WITH ADP,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",5.0,293.0,"PEG 8000 33-36% Ammonium acetate 0.8 M sodium acetate 0.085 M  pH 5.0. VAPOR DIFFUSION, HANGING DROP at 293 K",2.17,43.31,5.0,293,"VAPOR DIFFUSION, HANGING DROP","{'PEG 8000': '33-36%', 'Ammonium acetate': '0.8 M', 'sodium acetate': '0.085 M'}","{
  ""pH"": 5.0,
  ""temperature"": 293,
  ""reagents"": {
    ""PEG8000"": ""33-36%"",
    ""Ammonium acetate"": ""0.8 M"",
    ""sodium acetate"": ""0.085 M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  		   													"
1OB3,1OB3,Structure of P. falciparum PfPK5,X-RAY DIFFRACTION,1.0,,7.5,,"100MM HEPES SODIUM SALT PH 7.5, 10MM MGCL2, PEG 8K (8-16%), ISOPROPANOL (2-8%)",2.3,45.7,7.5,277,HANGING DROP,"{'HEPES': '100 mM', 'MgCl2': '10 mM', 'PEG 8K': '8-16%', 'isopropanol': '2-8%'}","{
  ""pH"": 7.5,
  ""temperature"": 277,
  ""reagents"": {
    ""HEPES"": ""100 mM"",
    ""MgCl2"": ""10 mM"",
    ""PEG 8K"": ""8-16%"",
    ""isopropanol"": ""2-8%""
  },
  ""method"": ""HANGING DROP""
}
    					   					  	"
1V0O,1V0O,Structure of P. falciparum PfPK5-Indirubin-5-sulphonate ligand complex,X-RAY DIFFRACTION,1.0,,7.4,,pH 7.40,2.56,51.99,7.4,298,HANGING DROP,{},"{
  ""pH"":7.4,
  ""temperature"":298,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""ammonium sulfate"": ""0.4M"",
    ""PEG400"": ""20%""
  },
  ""method"": ""HANGING DROP""
}
								       			"
3CWC,3CWC,Crystal structure of putative glycerate kinase 2 from Salmonella typhimurium LT2,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",4.2,287.0,"10% PEG 3000, 0.1 M Phosphate-citrate buffer, 0.2 M Sodium chloride, pH 4.2, VAPOR DIFFUSION, HANGING DROP, temperature 287K",2.35,47.73,4.2,287,"VAPOR DIFFUSION, HANGING DROP","{'PEG 3000': '10%', 'Phosphate-citrate buffer': '0.1 M', 'Sodium chloride': '0.2 M'}","{
  ""pH"": 4.2,
  ""temperature"": 287,
  ""reagents"": {
    ""PEG 3000"": ""10%"",
    ""Phosphate-citrate buffer"": ""0.1 M"",
    ""Sodium chloride"": ""0.2 M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
    																"
3E3P,3E3P,Glycogen synthase kinase from Leishmania major,X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,7.0,298.0,"70% Tacsimate, 0.1 M Bis Tris propane, pH 7.0, vapor diffusion, temperature 298K",2.7,54.9,7.0,298,Vapor Diffusion,"{'Bis-Tris Propane': '10 mM', 'Tacsimate': '70%'}","{
  ""pH"": 7.0,
  ""temperature"": 298,
  ""reagents"": {
    ""Bis-Tris Propane"": ""10 mM"",
    ""Tacsimate"": ""70%""
  },
  ""method"": ""Vapor Diffusion""
}
																			"
4Q1T,4Q1T,Crystal structure of a glutamate 5-kinase from Burkholderia thailandensis,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.5,289.0,"ButhA.00483.a.A1.PW33346 at 40 mg/mL against PACT screen condition F7, 0.2 M NaOAc, 0.1 M BisTris Propane pH 6.5, 20% PEG 3350 supplemented with 20% ethylene glycol as cryo-protectant, crystal tracking ID 226003f7, unique puck ID gzd6-4, VAPOR DIFFUSION, SITTING DROP, temperature 289K",2.04,39.69,6.5,289,"VAPOR DIFFUSION, SITTING DROP","{'BisTris Propane': '0.1 M', 'PEG 3350': '20%', 'NaOAc': '0.2 M', 'ethylene glycol': '20%'}","{
  ""pH"": 6.5,
  ""temperature"": 289,
  ""reagents"": {
    ""BisTris Propane"": ""0.1 M"",
    ""PEG 3350"": ""20%"",
    ""NaOAc"": ""0.2 M"",
    ""ethylene glycol"": ""20%""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
																				"
3L2E,3L2E,"Glycocyamine kinase, alpha-beta heterodimer from marine worm Namalycastis sp.",X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",8.0,298.0,"22% polyethylene glycol 3350, 0.2M sodium nitrate, 0.1M Tris HCl, pH 8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.22,44.52,8,298,"VAPOR DIFFUSION, HANGING DROP","{'polyethylene glycol 3350': '22%', 'sodium nitrate': '0.2M', 'Tris HCl': '0.1M'}","{
  ""pH"": 8,
  ""temperature"": 298,
  ""reagents"": {
    ""polyethylene glycol 3350"": ""22%"",
    ""sodium nitrate"": ""0.2M"",
    ""Tris HCl"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
								    								"
1E8W,1E8W,"Structure determinants of phosphoinositide 3-kinase inhibition by wortmannin, LY294002, quercetin, myricetin and staurosporine",X-RAY DIFFRACTION,1.0,,7.25,,"14% PEG 4000, 0.2 M LI2SO4, 0.1 M TRIS PH 7.25",2.829,54.85,7.25,5713,HANGING DROP,"{'PEG 4000': '14%', 'Li2SO4': '0.2M', 'TRIS/CL': '0.1M'}","{
  ""pH"": 7.25,
  ""temperature"": 5713,
  ""reagents"": {
    ""PEG 4000"": ""14%"",
    ""Li2SO4"": ""0.2M"",
    ""TRIS/CL"": ""0.1M""
  },
  ""method"": ""HANGING DROP""
}
"
2E9Y,2E9Y,Crystal structure of project APE1968 from Aeropyrum pernix K1,X-RAY DIFFRACTION,1.0,Microbach,5.65,291.0,"16.5% (w/v) PEG 20K, 0.1M Citr., pH 5.65, Microbach, temperature 291K",2.32,47.08,5.65,291,MICROBATCH,{'PEG 20K': '16.5% (w/v)'},"{
  ""pH"": 5.65,
  ""temperature"": 291,
  ""reagents"": {
    ""PEG 20K"": ""16.5% (w/v)""
  },
  ""method"": ""MICROBATCH""
}
  												  				"
1CJA,1CJA,"ACTIN-FRAGMIN KINASE, CATALYTIC DOMAIN FROM PHYSARUM POLYCEPHALUM",X-RAY DIFFRACTION,1.0,,6.0,,"2.0 M LI2SO4, 0.1 M MES, PH 6.0",3.59,68.0,6.0,0,HANGING DROP,"{'LI2SO4': '2.0 M', 'MES': '0.1 M'}","{
  ""pH"": 6.0,
  ""temperature"": 0,
  ""reagents"": {
    ""LI2SO4"": ""2.0 M"",
    ""MES"": ""0.1 M""
  },
  ""method"": ""HANGING DROP""
}
  				  	 	 	 	 	 	 "
8FH4,8FH4,"Crystal structure of HPK1 kinase domain T165E,S171E phosphomimetic mutant in complex with 3-[6-chloro-4-(9-methyl-1-oxa-4,9-diazaspiro[5.5]undec-4-yl)-7H-pyrrolo[2,3-d]pyrimidin-5-yl]benzonitrile",X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,,286.15,"15 mg/mL protein + reservoir (0.1 M Tris, pH 8.0, 17.5% 1,6-hexanediol, 10 mM magnesium sulfate, 24 mM barium acetate)",2.2,44.18,8.0,293,HANGING DROP,"{'Tris': '0.1M', '1,6-hexanediol': '17.5%', 'magnesium sulfate': '10 mM', 'barium acetate': '24 mM'}","{
  ""pH"": 8.0,
  ""temperature"": 293,
  ""reagents"": {
    ""Tris"": ""0.1M"",
    ""1,6-hexanediol"": ""17.5%"",
    ""magnesium sulfate"": ""10 mM"",
    ""barium acetate"": ""24 mM""
  },
  ""method"": ""HANGING DROP""
}
																				"
1YS3,1YS3,Crystal Structure of the ATP binding domain of PrrB from Mycobacterium Tuberculosis,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",8.0,292.0,"PEG200DME, Ca acetate, Bis Tris Propane, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 292K",2.5,51.0,8.0,292,"VAPOR DIFFUSION, HANGING DROP","{'Bis-Tris Propane': '10 mM', 'Ca Acetate': '5 mM', 'PEG200DME': '30% (w/v)'}","{
  ""pH"": 8.0,
  ""temperature"": 292,
  ""reagents"": {
    ""Bis-Tris Propane"": ""10 mM"",
    ""Ca Acetate"": ""5 mM"",
    ""PEG200DME"": ""30% (w/v)""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
																				"
6MI6,6MI6,STRUCTURE OF CHEA DOMAIN P4 IN COMPLEX WITH AN ADP ANALOG,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",5.5,290.0,"50 mM Citrate pH 5.5, 2 M Ammonium Sulfate",3.22,61.82,5.5,298,"VAPOR DIFFUSION, HANGING DROP",null,"{
    ""pH"": 5.5,
    ""temperature"": 298,
    ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
		"
2J5T,2J5T,Glutamate 5-kinase from Escherichia coli complexed with glutamate,X-RAY DIFFRACTION,1.0,,6.5,,"1.45 M MGSO4, 20 MM CACL2, 0.1 M MES PH 6.5.",2.77,55.2,6.5,277,MICROBATCH,"{'MgSO4': '1.45 M', 'CaCl2': '20 MM', 'MES': '0.1 M', 'HEPES': 'pH 6.5'}","{
  ""pH"": 6.5,
  ""temperature"": 277,
  ""reagents"": {
    ""MgSO4"": ""1.45 M"",
    ""CaCl2"": ""20 MM"",
    ""MES"": ""0.1 M"",
    ""HEPES"": ""pH 6.5""
  },
  ""method"": ""MICROBATCH""
}
  						  										"
4UXZ,4UXZ,Structure of delta7-DgkA-syn in 7.9 MAG to 2.18 angstrom resolution,X-RAY DIFFRACTION,1.0,LIPIDIC CUBIC PHASE,5.6,277.0,"4-6 %(V/V) 2-METHYL-2, 4-PENTANEDIOL (MPD), 0.1 M SODIUM CHLORIDE, 0.06 M MAGNESIUM ACETATE, 0.1 M SODIUM CITRATE/HCL PH 5.6. CRYSTALLIZED USING THE IN MESO (LIPID CUBIC PHASE) METHOD AT 4 DEGREES CELCIUS WITH THE 7.9 MONOACYLGLYCEROL (7.9 MAG) AS THE HOSTING LIPID.",2.93,58.04,5.6,4,IN MESO (LIPID CUBIC PHASE),"{'2-METHYL-2,4-PENTANEDIOL (MPD)': '4-6 %(V/V)', '0.1 M SODIUM CHLORIDE': None, '0.06 M MAGNESIUM ACETATE': None, '0.1 M SODIUM CITRATE/HCL pH 5.6': None}","{
    ""pH"": 5.6,
    ""temperature"": 4,
    ""reagents"": {
      ""2-METHYL-2,4-PENTANEDIOL (MPD)"": ""4-6 %(V/V)"",
      ""0.1 M SODIUM CHLORIDE"": null,
      ""0.06 M MAGNESIUM ACETATE"": null,
      ""0.1 M SODIUM CITRATE/HCL pH 5.6"": null
    },
    ""method"": ""IN MESO (LIPID CUBIC PHASE)""
}
		"
6Z1Q,6Z1Q,MAP3K14 (NIK) in complex with DesF-3R/4076,X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,7.6,277.0,"12-20% Ethanol, 0.1M Hepes pH 7.6",2.75,55.21,7.6,0.0,"VAPOR DIFFUSION, HANGING DROP","{'Ethanol': '12-20%', 'HEPES': '0.1M'}","{
  ""pH"": 7.6,
  ""temperature"": 0.0,
  ""reagents"": {
    ""Ethanol"": ""12-20%"",
    ""HEPES"": ""0.1M""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  			   				   				 "
6Z1T,6Z1T,MAP3K14 (NIK) in complex with 4S/3694,X-RAY DIFFRACTION,1.0,VAPOR DIFFUSION,7.6,277.0,"12-20% Ethanol, 0.1M Hepes pH 7.6",2.8,56.03,7.6,0.0,HANGING DROP,"{'Ethanol': '12-20%', 'Hepes': '0.1M'}","{
    ""pH"": 7.6,
    ""temperature"": 0.0,
    ""reagents"": {
        ""Ethanol"": ""12-20%"",
        ""Hepes"": ""0.1M""
    },
    ""method"": ""HANGING DROP""
}
    																"
6CQF,6CQF,Crystal structure of HPK1 in complex an inhibitor G1858,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",8.5,292.0,"0.1 M Tris-HCl, pH 8.5, 0.25 M sodium tartrate, 12% PEG8000",2.64,53.43,8.5,293,"VAPOR DIFFUSION, HANGING DROP","{'Tris-HCl': '0.1M', 'sodium tartrate': '0.25M', 'PEG8000': '12%'}","{
  ""pH"": 8.5,
  ""temperature"": 293,
  ""reagents"": {
    ""Tris-HCl"": ""0.1M"",
    ""sodium tartrate"": ""0.25M"",
    ""PEG8000"": ""12%""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  						  										"
2BRI,2BRI,UMP KINASE FROM PYROCOCCUS FURIOSUS COMPLEXED WITH ITS SUBSTRATE ANALOG AMPPNP,X-RAY DIFFRACTION,1.0,,8.0,,"3.5 M SODIUM FORMATE, pH 8.00",2.68,53.83,8,0,,"{'SODIUM FORMATE': '3.5 M', 'H2O': 'deionized'}","{
  ""pH"": 8,
  ""temperature"": 0,
  ""reagents"": {
    ""SODIUM FORMATE"": ""3.5M"",
    ""H2O"": ""deionized""
  },
  ""method"": """"
}
"
1LPU,1LPU,Low Temperature Crystal Structure of the Apo-form of the catalytic subunit of protein kinase CK2 from Zea mays,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",8.1,293.0,"PEG3350, Tris/HCl, sodium acetate, pH 8.1, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.39,48.47,8.1,293,"VAPOR DIFFUSION, SITTING DROP","{'Tris/HCl': '100mM', 'sodium acetate': '50 mM', 'PEG3350': '3% (w/v)'}","{
  ""pH"": 8.1,
  ""temperature"": 293,
  ""reagents"": {
    ""Tris/HCl"": ""100mM"",
    ""sodium acetate"": ""50 mM"",
    ""PEG3350"": ""3% (w/v)""
  },
  ""method"": ""VAPOR DIFFUSION, SITTING DROP""
}
													  					"
5WNI,5WNI,Crystal structure of murine receptor-interacting protein kinase 4 (Ripk4) D143N in complex with ATP,X-RAY DIFFRACTION,1.0,MICROBATCH,,292.0,"0.1M HEPES pH 7.5, 0.2M magnesium chloride, 10% 2-propanol, 15% ethylene glycol, 10% PEG4000",3.67,66.53,7.5,277,HANGING DROP,"{'HEPES': '0.1M', 'magnesium chloride': '2.0M', '2-propanol': '10%', 'ethylene glycol': '15%', 'PEG4000': '15%'}","{
  ""pH"": 7.5,
  ""temperature"": 277,
  ""reagents"": {
    ""HEPES"": ""0.1M"",
    ""magnesium chloride"": ""2.0M"",
    ""2-propanol"": ""10%"",
    ""ethylene glycol"": ""15%"",
    ""PEG4000"": ""15%""
  },
  ""method"": ""HANGING DROP""
}
  						         			"
2Y4I,2Y4I,KSR2-MEK1 heterodimer,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, SITTING DROP",6.25,293.0,"12% (W/V) PEG 3350, 0.2 M NA CITRATE, 10 MM PR ACETATE, BIS-TRIS PROPANE PH 6.25.",3.44,64.0,6.25,6.25,HANGING DROP,"{'BIS-TRIS PROpane pH 6.25': '12% (W/V)', 'NA CITRATE': '0.2 M', 'PR ACETATE': '10 MM'}","{
  ""pH"": 6.25,
  ""temperature"": 6.25,
  ""reagents"": {
    ""BIS-TRIS PROpane pH 6.25"": ""12% (W/V)"",
    ""NA CITRATE"": ""0.2 M"",
    ""PR ACETATE"": ""10 MM""
  },
  ""method"": ""HANGING DROP""
}
  																		"
1I58,1I58,STRUCTURE OF THE HISTIDINE KINASE CHEA ATP-BINDING DOMAIN IN COMPLEX WITH ATP ANALOG ADPCP AND MAGNESIUM,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",5.0,293.0,"PEG 8000 33-36% Ammonium acetate 0.8 M sodium acetate 0.085 M  pH 4.5. VAPOR DIFFUSION, HANGING DROP at 293 K",,,4.5,293,"VAPOR DIFFUSION, HANGING DROP","{'Ammonium Acetate': '0.8 M', 'Sodium acetate': '0.085 M', 'PEG8000': '33-36% (w/v)'}","{
  ""pH"": 4.5,
  ""temperature"": 293,
  ""reagents"": {
    ""Ammonium Acetate"": ""0.8 M"",
    ""Sodium acetate"": ""0.085 M"",
    ""PEG8000"": ""33-36% (w/v)""
  },
  ""method"": ""VAPOR DIFFUSION, HANGING DROP""
}
  															  	"
4WRR,4WRR,A putative diacylglycerol kinase from Bacillus anthracis str. Sterne,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",,289.0,"0.2M sodium tartrate, 20% PEG3350 in Drop, 1.15M Sodium Chloride in Well",2.46,49.99,7.4,291,HANGING DROP,"{'sodium tartrate': '0.2M', 'PEG3350': '20%', 'SODIUM CHLORIDE': '1.15M'}","{
  ""pH"": 7.4,
  ""temperature"": 291,
  ""reagents"": {
    ""sodium tartrate"": ""0.2M"",
    ""PEG3350"": ""20%"",
    ""SODIUM CHLORIDE"": ""1.15M""
  },
  ""method"": ""HANGING DROP""
}
																			"
6XX8,6XX8,Arabidopsis thaliana Casein Kinase 2 (CK2) alpha-1 crystal form II,X-RAY DIFFRACTION,1.0,"VAPOR DIFFUSION, HANGING DROP",,293.0,0.2M sodium sulfate 0.1M Bis-Tris propane pH 6.5 20% PEG 3350,1.93,36.28,6.5,0,HANGING DROP,"{'sodium sulfate': '0.2M', 'Bis-Tris propane': '0.1M'}","{
  ""pH"": 6.5,
  ""temperature"": 0,
  ""reagents"": {
    ""sodium sulfate"": ""0.2M"",
    ""Bis-Tris propane"": ""0.1M""
  },
  ""method"": ""HANGING DROP""
}
  																		"
4BRB,4BRB,"Crystal structure of the integral membrane enzyme DgkA-ref, delta 7",X-RAY DIFFRACTION,1.0,LIPIDIC CUBIC PHASE,5.6,277.0,"3-5 %(V/V) 2-METHYL-2, 4-PENTANEDIOL (MPD), 0.1 M SODIUM CHLORIDE, 0.06 M MAGNESIUM ACETATE, 0.1 M SODIUM CITRATE/HCL PH 5.6. CRYSTALLIZED USING THE IN MESO (LIPIDIC CUBIC PHASE) METHOD AT 4 DEGREES CELCIUS WITH THE 7.8 MONOACYLGLYCEROL (7.8 MAG) AS THE HOSTING LIPID.",3.89,68.43,5.6,4,IN MESO (LIPIDIC CUBIC PHASE) METHOD,"{'2-METHYL-2,4-PENTANEDIOL (MPD)': '3-5 %V/V', '0.1 M SODIUM CHLORIDE': '', '0.06 M MAGNESIUM ACETATE': '', '0.1 M SODIUM CITRATE/HCL': ''}","{
    ""pH"": 5.6,
    ""temperature"":4,
    ""reagents"": {
        ""2-METHYL-2,4-PENTANEDIOL (MPD)"": ""3-5 %V/V"",
        ""0.1 M SODIUM CHLORIDE"": """",
        ""0.06 M MAGNESIUM ACETATE"": """",
        ""0.1 M SODIUM CITRATE/HCL"": """"
    },
    ""method"": ""IN MESO (LIPIDIC CUBIC PHASE) METHOD""
}
 	"
